persona_id,idx,source_config,persona_text,age_refined,llm_label,llm_confidence,llm_reason,shard_id,age_heuristic,age,age_refine_confidence,age_refine_reason
persona::78311,78311,persona,A high school student in Terry High School who's been fascinated by choir music since childhood.,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references 'Terry High School,' which is a concrete school context.",0,16,16,,
persona::78884,78884,persona,A curious high school student who is fascinated by World War II aviation and seeks the teacher's expertise,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references seeking the 'teacher's expertise,' which constitutes a concrete school context involving teachers and classroom interaction.",0,16,16,,
persona::79480,79480,persona,A high school student interested in learning about the history and evolution of local factories,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and expresses interest in learning about the history and evolution of local factories, which implies engagement with a school-related topic or curriculum context.",0,16,16,,
persona::80022,80022,persona,A high school student struggling with psychology who turns to the psychology student for help,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references a struggle with 'psychology' coursework, which constitutes a concrete school context (classes or coursework).",0,16,16,,
persona::80295,80295,persona,A high school junior and debate team captain who advocates for mental health awareness,16,yes,100,"The persona explicitly identifies the individual as a 'high school junior' and mentions being the 'debate team captain,' which is a concrete reference to a school context within a high school environment.",0,16,16,,
persona::80886,80886,persona,A high school student who experiences the effects of racism firsthand and provides valuable insight to the sociologist,16,yes,100,"The persona explicitly identifies as 'a high school student' and provides insight based on personal experiences, which implies current involvement in high school life, fulfilling both mandatory conditions.",0,16,16,,
persona::81254,81254,persona,a high school student who's not very serious about his grades and dislikes excel.,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and includes a reference to 'excel,' which is a common tool used in high school coursework, indicating a concrete school context.",0,16,16,,
persona::81672,81672,persona,An idealistic high school student who aspires to end violence in their school through peer mediation programs,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references 'peer mediation programs' within the context of their school, indicating current involvement in a school-based initiative.",0,16,16,,
persona::81719,81719,persona,"A politically engaged high school student in Wallingford, Connecticut.",16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and includes the context of being in Wallingford, Connecticut, which implies a specific school environment, thus satisfying both mandatory conditions.",0,16,16,,
persona::82540,82540,persona,A high school student who wants to become an engineer and discusses new discoveries at school during dinner,16,yes,100,"The persona explicitly identifies as 'a high school student' and references 'new discoveries at school', which constitutes a concrete school context involving school life or curriculum.",0,16,16,,
persona::83618,83618,persona,A high school student who benefits from the improved search functionality for studying purposes,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references 'studying purposes,' which constitutes a concrete school context related to academic activities in a high school setting.",0,16,16,,
persona::84597,84597,persona,A high school student who used to hate Shakespeare but now finds joy and meaning in his works thanks to their educator's innovative teaching approach,16,yes,100,"The persona explicitly identifies as a 'high school student' and references 'their educator's innovative teaching approach,' which constitutes a concrete school context involving a teacher and instructional method within a high school setting.",0,16,16,,
persona::84953,84953,persona,A high school student seeking book recommendations to improve their vocabulary and comprehension,16,yes,100,"The persona explicitly identifies as a 'high school student' and is seeking book recommendations, which implies a current academic context related to improving skills relevant to high school coursework.",0,16,16,,
persona::85196,85196,persona,A high school student who relies on online education due to health concerns and seeks tips on staying motivated,16,yes,100,"The persona explicitly identifies as a 'high school student' and references 'online education' as part of their current academic situation, which constitutes a concrete school context (distance learning within a high school framework).",0,16,16,,
persona::85428,85428,persona,A high school student who enjoys indulging in guilty pleasure fast food meals with friends,16,yes,100,"The persona explicitly identifies as a 'high school student' and references 'meals with friends,' which constitutes a concrete school context involving classmates and social interactions typical of high school life.",0,16,16,,
persona::85782,85782,persona,"An ambitious high school student who excels in math and science, drawing inspiration from her successful older sibling",16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and includes the context of academic excellence in math and science, which is a concrete reference to coursework and school life.",0,16,16,,
persona::85807,85807,persona,A high school student who finds inspiration in the complex characters and storylines of '90s teen dramas,16,yes,100,"The persona explicitly identifies as a 'high school student' and references '90s teen dramas,' which implies a current high school context involving storytelling and character development typical of school life and curriculum.",0,16,16,,
persona::85962,85962,persona,a high school student in West Virginia who is passionate about STEM,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and specifies the location as West Virginia, which provides a concrete school context.",0,16,16,,
persona::88897,88897,persona,a Macedonian high school student who's enthusiastic about technology,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and the context of being from Macedonia implies an upper secondary education setting, which is the current level of education for the individual.",0,16,16,,
persona::88957,88957,persona,A high school senior who is undecided about their future career and seeks guidance from the teacher,16,yes,100,"The persona explicitly identifies the individual as a 'high school senior' and includes the context of seeking guidance from a 'teacher', which is a concrete reference to a school environment.",0,16,16,,
persona::89004,89004,persona,A high school student passionate about genetics and seeking guidance on pursuing a career in bioinformatics,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and expresses interest in pursuing a career in bioinformatics, which implies current engagement in high school coursework and academic planning.",0,16,16,,
persona::89545,89545,persona,A high school student looking for affordable online resources to supplement their education,16,yes,100,"The persona explicitly identifies as a 'high school student' and mentions 'supplementing their education,' which refers to current academic activities within a high school context.",0,16,16,,
persona::89672,89672,persona,A high school student aiming to improve their scores on standardized tests,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and mentions 'standardized tests,' which are typically associated with high school coursework and exams, indicating a current high school context.",0,16,16,,
persona::91760,91760,persona,A high school student who is passionate about sleep research and student advocacy.,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and includes the context of being passionate about 'student advocacy,' which implies active involvement in school life, a common context for such advocacy.",0,16,16,,
persona::92093,92093,persona,A creative and resourceful high school student who actively participates in the interdisciplinary projects,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and mentions 'interdisciplinary projects,' which is a concrete reference to a school context such as coursework or school life.",0,16,16,,
persona::92539,92539,persona,A curious high school student who seeks out their advice for their mock trial club,16,yes,100,"The persona explicitly identifies as a 'high school student' and references involvement in a 'mock trial club,' which is a concrete school context related to high school activities.",0,16,16,,
persona::92613,92613,persona,A high school junior who thrives in creative writing and has won several young authors' awards,16,yes,100,"The persona explicitly identifies the individual as a 'high school junior' and mentions 'creative writing,' which is a concrete school context related to coursework and extracurricular activities in a high school setting.",0,16,16,,
persona::93854,93854,persona,an excited Madison High School student-athlete who plays football,16,yes,100,"The persona explicitly identifies the individual as a 'Madison High School student-athlete' and references football, which is a concrete school context involving a high school sports team.",0,16,16,,
persona::93883,93883,persona,"I am a high school student who is greatly inspired by historical figures, particularly pioneering women in medicine.",16,yes,100,"The persona explicitly identifies as a 'high school student' and expresses inspiration from historical figures, which aligns with a typical high school curriculum context involving historical study and learning about influential individuals.",0,16,16,,
persona::94305,94305,persona,A high school student interested in learning the art of bike restoration,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and implies current enrollment through the context of interest in learning, which is consistent with ongoing school life.",0,16,16,,
persona::94529,94529,persona,a Mexican high school student attending a public school,16,yes,100,"The persona explicitly identifies the individual as a 'Mexican high school student' and mentions 'attending a public school', which constitutes a concrete school context.",0,16,16,,
persona::96088,96088,persona,"A high school student struggling with advanced algebra, seeking guidance through the blog",16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references 'advanced algebra,' which is a concrete subject within the high school curriculum, indicating current enrollment in high school.",0,16,16,,
persona::96602,96602,persona,"A high school student with an interest in computer science, looking to their older sibling for advice on learning Java",16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and includes a concrete school context by mentioning 'learning Java,' which is typically part of a high school computer science curriculum or coursework.",0,16,16,,
persona::96879,96879,persona,A high school senior who brings the teacher a cup of coffee every morning as a token of appreciation,16,yes,100,"The persona explicitly identifies the individual as a 'high school senior' and includes the concrete school context of bringing a teacher a cup of coffee every morning, which is a specific school-related activity.",0,16,16,,
persona::97203,97203,persona,"A high school student interested in pursuing a career in information theory, seeking guidance and advice",16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and expresses interest in pursuing a career in information theory, which implies current engagement in high school education and academic planning.",0,16,16,,
persona::97293,97293,persona,A high school student researching the cultural impact of the 1960s and 1970s for a history project,16,yes,100,"The persona explicitly identifies as a 'high school student' and is engaged in a 'history project,' which constitutes a concrete school context such as coursework or class assignment.",0,16,16,,
persona::98655,98655,persona,An older high school student who's won the local astronomy quiz competition twice in a row,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references participation in a 'local astronomy quiz competition,' which is a concrete school context involving academic competition within a high school environment.",0,16,16,,
persona::98972,98972,persona,A high school student from a different state who seeks remote SAT and ACT tutoring,16,yes,100,"The persona explicitly identifies as a 'high school student' and references seeking 'remote SAT and ACT tutoring,' which is a concrete school context related to high school preparation and academic activities.",0,16,16,,
persona::99259,99259,persona,A high school sophomore who plays on the varsity basketball team and is passionate about literature,16,yes,100,"The persona explicitly identifies the individual as a 'high school sophomore' and includes the concrete school context of playing on the 'varsity basketball team,' which is a school-based extracurricular activity.",0,16,16,,
persona::99278,99278,persona,A high school student with a learning disability who looks up to their special education teacher as a role model,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references a 'special education teacher,' which constitutes a concrete school context within a high school setting.",0,16,16,,
persona::99499,99499,persona,"I am an inspired high school student with a passion for environmental activism, enamored with the achievements of conservationists like Ted Howard.",16,yes,100,"The persona explicitly identifies as 'an inspired high school student' and expresses passion for environmental activism, which is a concrete school context related to student interests and activities within a high school environment.",0,16,16,,
persona::101092,101092,persona,A high school student passionate about rocketry and president of the school's model rocket club,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and mentions being 'president of the school's model rocket club,' which is a concrete reference to a school context.",0,16,16,,
persona::101167,101167,persona,A curious high school student who actively seeks out books and documentaries about African history outside of the classroom,16,yes,100,"The persona explicitly identifies as a 'high school student' and references seeking out books and documentaries about African history 'outside of the classroom,' which constitutes a concrete school context involving coursework and academic environment.",0,16,16,,
persona::102541,102541,persona,"I'm a curious high school student passionate about art and history, and I'm currently working on a project about Danish Golden Age paintings.",16,yes,100,"The persona explicitly identifies as a 'high school student' and mentions working on a project, which is a concrete reference to a school context.",0,16,16,,
persona::103152,103152,persona,A high school student from Zambia interested in agriculture and nutrition.,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and implies a current educational context through the mention of interest in agriculture and nutrition, which are typically part of a high school curriculum in Zambia.",0,16,16,,
persona::104290,104290,persona,A high school student fighting against school policies that discriminate against marginalized groups,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and describes involvement in actions against school policies, which constitutes a concrete reference to a school context.",0,16,16,,
persona::104640,104640,persona,a high school student currently studying Frederick Douglass's autobiography,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and includes the concrete school context of studying Frederick Douglass's autobiography, which is a typical part of a high school curriculum.",0,16,16,,
persona::104791,104791,persona,A high school student who has experienced the challenges of the achievement gap firsthand and provides valuable insight for program development,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references 'the challenges of the achievement gap firsthand,' which is a concrete context within high school life.",0,16,16,,
persona::105915,105915,persona,A curious high schooler taking AP History and seeking guidance to deepen their understanding of the subject,16,yes,100,"The persona explicitly identifies as a 'high schooler' and mentions taking 'AP History,' which is a concrete course in a high school curriculum, satisfying both the identity and school context requirements.",0,16,16,,
persona::106376,106376,persona,A high school student considering majoring in Educational Psychology,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and the context of considering a major in Educational Psychology implies current engagement with academic planning, which is part of the high school experience.",0,16,16,,
